epoch	train_ppl_0.6	valid_ppl_0.6
1	309.03	108.78
2	104.35	61.74
3	76.68	51.52
4	66.16	42.98
5	60.19	39.20
6	56.20	36.28
7	53.24	34.06
8	51.27	33.21
9	49.49	31.67
10	47.82	30.56
11	46.58	29.56
12	45.48	28.65
13	44.89	28.25
14	43.72	27.47
15	43.07	26.73
16	42.17	26.47
17	41.60	26.15
18	41.24	25.56
19	40.69	25.37
20	40.23	25.04
21	40.06	24.96
22	39.57	24.40
23	39.16	24.42
24	35.83	22.95
25	34.42	22.54
26	33.73	22.28
27	33.27	22.15
28	32.87	21.97
29	32.51	21.77
30	32.25	21.72
31	31.89	21.52
32	31.62	21.45
33	31.32	21.28
34	31.17	21.29
35	30.63	21.08
36	30.29	21.00
37	30.14	20.98
38	30.02	20.92
39	30.00	20.88
40	29.78	20.83
41	29.70	20.78
42	29.70	20.76
43	29.58	20.71
44	29.56	20.67
45	29.46	20.64
46	29.45	20.60
47	29.38	20.58
48	29.29	20.55
49	29.15	20.51
50	29.20	20.50
test_ppl	21.04
