epoch	train_ppl_0.2	valid_ppl_0.2
1	319.50	271.30
2	100.32	180.77
3	69.40	160.11
4	57.28	139.76
5	50.03	125.51
6	44.45	116.47
7	40.21	106.40
8	36.54	97.24
9	33.45	92.34
10	30.72	92.32
11	28.09	86.81
12	25.81	76.12
13	23.77	72.42
14	21.94	76.48
15	16.61	63.30
16	15.00	60.58
17	14.08	54.93
18	13.41	52.77
19	12.74	52.77
20	11.86	52.18
21	11.50	51.03
22	11.31	51.20
23	11.22	50.36
24	11.04	50.06
25	10.97	50.28
26	10.95	50.03
27	10.91	49.86
28	10.96	49.62
29	10.93	49.56
30	10.84	49.43
31	10.82	49.45
32	10.77	49.41
33	10.78	49.37
34	10.80	49.37
35	10.85	49.34
36	10.78	49.33
37	10.76	49.33
38	10.80	49.27
39	10.81	49.23
40	10.81	49.23
41	10.78	49.22
42	10.79	49.22
43	10.77	49.22
44	10.78	49.22
45	10.73	49.22
46	10.75	49.22
47	10.75	49.22
48	10.74	49.22
49	10.78	49.22
50	10.78	49.22
test_ppl	48.39
