epoch	train_ppl_0.3	valid_ppl_0.3
1	304.54	124.83
2	101.23	89.30
3	71.02	75.34
4	59.05	60.33
5	52.12	52.87
6	46.77	43.44
7	42.87	40.49
8	39.45	36.67
9	36.57	34.13
10	34.13	31.04
11	31.92	28.98
12	29.89	27.80
13	28.18	25.42
14	26.50	23.75
15	24.97	23.04
16	23.45	21.86
17	22.19	20.63
18	20.78	19.78
19	19.75	18.90
20	18.75	18.23
21	17.79	17.34
22	16.96	16.61
23	16.42	15.80
24	15.80	15.26
25	15.26	14.99
26	14.66	14.38
27	14.22	13.94
28	14.00	13.67
29	13.55	13.37
30	13.21	13.14
31	12.96	12.90
32	12.77	12.57
33	12.51	12.38
34	12.40	12.24
35	12.11	11.95
36	12.07	11.84
37	11.90	11.71
38	11.83	11.72
39	9.96	10.49
40	8.98	10.14
41	8.58	9.87
42	8.23	9.69
43	7.96	9.55
44	7.74	9.43
45	7.55	9.30
46	7.42	9.23
47	7.27	9.10
48	7.16	9.09
49	7.05	9.00
50	6.93	8.90
test_ppl	8.79
