epoch	train_ppl_0.8	valid_ppl_0.8
1	309.15	134.95
2	115.23	81.52
3	93.31	64.59
4	85.49	56.92
5	81.92	51.42
6	79.25	49.56
7	77.43	47.91
8	76.33	46.20
9	74.89	46.21
10	70.87	42.94
11	68.84	42.16
12	67.68	41.70
13	66.72	41.64
14	66.32	41.24
15	65.78	40.89
16	65.39	40.43
17	64.76	40.17
18	64.60	39.93
19	64.00	39.78
20	63.53	39.40
21	63.38	39.24
22	63.03	38.96
23	62.46	38.93
24	62.21	38.72
25	62.47	38.66
26	61.77	38.36
27	61.72	38.08
28	61.35	37.91
29	61.31	37.81
30	60.81	37.81
31	60.51	37.78
32	60.67	37.56
33	60.25	37.36
34	60.07	37.27
35	60.05	37.11
36	59.76	37.17
37	58.50	36.83
38	58.34	36.75
39	57.99	36.71
40	57.86	36.65
41	57.64	36.62
42	57.80	36.56
43	57.71	36.56
44	57.40	36.55
45	57.41	36.49
46	57.37	36.46
47	57.36	36.42
48	57.13	36.43
49	57.19	36.39
50	57.07	36.34
test_ppl	37.96
